"0_created_time","0_id","0_likes_summary_can_like","0_likes_summary_has_liked","0_likes_summary_total_count","0_link","0_message","0_name","0_shares_count","0_stat_facebook_insight_comment_count","0_stat_facebook_insight_share_count","0_stat_slideshare_insight_author_id","0_stat_slideshare_insight_author_title","0_stat_slideshare_insight_author_type","0_stat_slideshare_insight_author_url","0_stat_slideshare_insight_category","0_stat_slideshare_insight_comment_count","0_stat_slideshare_insight_created_at","0_stat_slideshare_insight_download_count","0_stat_slideshare_insight_embed_count","0_stat_slideshare_insight_favorites_count","0_stat_slideshare_insight_featured_on","0_stat_slideshare_insight_published","0_stat_slideshare_insight_updated_at","0_stat_slideshare_insight_view_count"
"2016-07-17T01:43:00+0000","1502894619932654_1812434495645330","False","False","86","http://www.slideshare.net/tw_dsconf/ss-64090957","http://www.slideshare.net/tw_dsconf/ss-64090957

專題演講/林煜軒/從手機解讀行為與心理

林煜軒博士為國內少數兼具臨床、企業界資歷之精神科醫師，已發表 28 篇學術論文於國際期刊 (H index=8)，其中值班實習醫師之生理訊號研究成果於最具權威教科書《睡眠醫學原理與實務》網站專題報導；立法院、監察院探討醫師工時之公聽會、座談會均援引林醫師團隊之研究成果。

林醫師曾任職臺大精神部，近年投入網路心理學等多項跨領域研究，致力研發雲端健康服務的手機程式 (App)、編製「智慧型手機成癮量表」，獲得多國學者要求授權翻譯。近期受邀編寫國際知名網路成癮教科書中「智慧型手機成癮」章節。並積極建立產學合作平台，協助政府部門研擬相關政策","林煜軒…œ/從手機解讀行為與心理","30","0","109","748641158535005","台灣資料科學愛好者年會","slideshare:author","http://www.slideshare.net/tw_dsconf","Data & Analytics","0","2016-07-16 23:51:43 UTC","46","2","4","","2016-07-16T23:51:43+0000","2016-07-16 23:52:25 UTC","665"
"2016-07-17T01:02:00+0000","1502894619932654_1812432735645506","False","False","29","http://www.slideshare.net/tw_dsconf/mobility-on-demand-for-future-cities","http://www.slideshare.net/tw_dsconf/mobility-on-demand-for-future-cities

專題演講/鄭世昐/未來城市的任意門 (Mobility on Demand for Future Cities)

Shih-Fen Cheng is Associate Professor of Information Systems and Deputy Director of the Fujitsu-SMU Urban Computing and Engineering Corp Lab at the Singapore Management University. He received his Ph.D. degree in industrial and operations engineering from the University of Michigan, Ann Arbor, and B.S.E. degree in mechanical engineering from the National Taiwan University.

His research focuses on the modeling and optimization of complex systems in engineering and business domains. He is particularly interested in the application areas of transportation, computational markets, and human decision-making. He is a member of INFORMS, AAAI, and IEEE, and serves as Area Editor for Electronic Commerce Research and Applications.","鄭世昐/未來城市的任意門 (Mobility on Demand for Future Cities)","8","0","31","748641158535005","台灣資料科學愛好者年會","slideshare:author","http://www.slideshare.net/tw_dsconf","Data & Analytics","0","2016-07-16 23:42:37 UTC","50","0","3","","2016-07-16T23:42:37+0000","2016-07-16 23:43:09 UTC","479"
"2016-07-17T01:01:00+0000","1502894619932654_1812433398978773","False","False","118","http://www.slideshare.net/tw_dsconf/ss-64090916","http://www.slideshare.net/tw_dsconf/ss-64090916

專題演講/李祈均/人類行為訊號處理 : 跨學科 (醫療、教育、心理) 應用實例分享、心得、展望

李祈均博士目前是國立清華大學電機系的助理教授。他的研究專長在於運用及開發訊號處理及機器學習技術進行跨領域研究，尤其是在對人類行為進行分析、預測、及統計建模。他長期著墨在運用不同種類的資料檔 ( 文字、聲音、影像等等 ) 於醫療、教育、心理領域研發相關演算法。他曾是 ID Analytics 公司旗下的 id:a lab 的資料科學家，透過分析客戶信用申請函資訊進行金融信用產品之研發與開發。目前在清大跟榮總、國家衛生研究院、長庚醫院、臺大醫院、及國家教育研究院等機構合作研究對人類情緒，教育演講，及醫療臨床行為進行量化建模及客觀辨識。","李祈均/人類行為訊號處理 : 跨學科 (醫療、教育、心理) 應用實例分享、心得、展望","28","0","161","748641158535005","台灣資料科學愛好者年會","slideshare:author","http://www.slideshare.net/tw_dsconf","Data & Analytics","0","2016-07-16 23:47:20 UTC","53","3","2","","2016-07-16T23:47:20+0000","2016-07-16 23:47:43 UTC","528"
"2016-07-16T08:38:00+0000","1502894619932654_1812132829008830","False","False","78","http://www.slideshare.net/tw_dsconf/ss-64078404","http://www.slideshare.net/tw_dsconf/ss-64078404

專題演講/莊坤達/資料科學與防疫應用的結合 : 以登革熱防治為例

傳染病的防治是人類社會一直以來的挑戰課題。在台灣，每年幾乎都會面臨腸病毒，登革熱，流感等人群擴散性高的傳染疫病所帶來的社會，經濟上的損失。在本次演講中，我們將討論 2015 年，在台南市面對嚴峻登革熱爆發時，所面臨的醫療問題，政府信任度，及防疫手段上，所遭遇的問題。以及分享在決策層面上，如何透過資料分析的導入，以科學性的探討，協助控制疫情的故事。也將分享並提出資料科學能在防疫問題上的幫忙及未來規劃。","莊坤達/資料科學與防疫應用的結合 : 以登革熱防治為例","15","0","84","748641158535005","台灣資料科學愛好者年會","slideshare:author","http://www.slideshare.net/tw_dsconf","Data & Analytics","0","2016-07-16 06:41:51 UTC","80","1","5","","2016-07-16T06:41:51+0000","2016-07-16 06:42:21 UTC","543"
"2016-07-16T08:37:00+0000","1502894619932654_1812133442342102","False","False","177","http://www.slideshare.net/tw_dsconf/ss-64078610","http://www.slideshare.net/tw_dsconf/ss-64078610

專題演講/周世恩/資料分析前的奏曲 : 談資料收集的挑戰

2012 年開啟了網頁抓取的生涯，先後在臺大工程科學與海洋工程研究所與趨勢科技磨練。2014 年創立 QSearch，在社群數據抓取過程中打開潘朵拉的盒子，希望把揭開的社群趨勢分享給各個產業。數據分析最重要的資料擷取，這幾年來面對許多挑戰，數量大且變化大，各個產業又有不同的資料表達方式，未來將致力於資料擷取系統開發，讓資料分析者無後顧之憂。","周世恩/資料分析前的奏曲 : 談資料收集的挑戰","36","0","198","748641158535005","台灣資料科學愛好者年會","slideshare:author","http://www.slideshare.net/tw_dsconf","Data & Analytics","0","2016-07-16 06:55:49 UTC","98","6","14","","2016-07-16T06:55:49+0000","2016-07-16 06:57:05 UTC","1007"
"2016-07-16T08:37:00+0000","1502894619932654_1812131109009002","False","False","98","http://www.slideshare.net/tw_dsconf/ss-64078333","http://www.slideshare.net/tw_dsconf/ss-64078333

專題演講/黃從仁/心理與行為資料中的因與果

黃從仁畢業於臺灣大學數學系、臺灣大學物理學研究所、波士頓大學認知與神經系統研究所。他的研究專長為應用數理模型與電腦模擬來解釋人類認知行為。目前他的研究團隊致力於使用資訊科技來進行心理學與神經科學的巨量資料研究，在議題上聚焦於社會認知/學習/記憶。研究之外，他曾擔任科羅拉多大學認知科學研究所以及臺灣大學身體心靈文化整合影像研究中心的資訊系統架構師兼管理員。","黃從仁/心理與行為資料中的因與果","18","0","126","748641158535005","台灣資料科學愛好者年會","slideshare:author","http://www.slideshare.net/tw_dsconf","Data & Analytics","0","2016-07-16 06:37:36 UTC","94","2","7","","2016-07-16T06:37:36+0000","2016-07-16 06:38:00 UTC","748"
"2016-07-16T07:52:00+0000","1502894619932654_1812136732341773","False","False","288","https://www.slideshare.net/mobile/muyueh/ss-63976164","https://www.slideshare.net/mobile/muyueh/ss-63976164

專題演講/李慕約&王向榮/如何備料：資料的抓取、清理以及串接

-------------------------------------------------------------

李慕約，公司共同創辦人，提供資料分析、視覺化服務。分析就像炒菜。炒菜重要，買了一堆炒鍋。但炒不出菜不是因為沒鍋，因為炒菜真正難在：決定炒什麼菜、如何處理食材、炒菜技術。市場上很多人在賣各式炒鍋（ 資料軟體 / 平台 /機器 ），我們幫客戶炒菜。
客戶包含：
- 國內三大電信（ 分析客戶訴訟、3D 建築物以及 4G 基地台 ）
- 銀行（ 時間序列分析 ）
- 蔡英文總統（ 視覺化選舉政策 ）
- 世界衛生組織與中國雙年度合作計畫（ 分析 750 家三甲醫院 ）
另協助 Google 香港、世界銀行與新加坡政府，進行資料視覺化課程工作坊。

-------------------------------------------------------------

王向榮，交通大學網路策進會會長，曾任痞客邦產品開發副理，現在為李慕約公司共同創辦人。在 g0v 零時政府曾參與及發起台灣公司資料、求職小幫手、新聞小幫手、開放政治獻金等專案，喜歡爬資料收集資料並使用資料放出資料。","如何備料：資料的抓取、清理以及串接","86","0","459","1117701104958796","muyueh","slideshare:author","http://www.slideshare.net/muyueh","Data & Analytics","0","2016-07-13 07:05:27 UTC","48","4","14","","2016-07-13T07:05:27+0000","2016-07-16 06:05:29 UTC","974"
"2016-07-16T07:52:00+0000","1502894619932654_1812099409012172","False","False","66","http://www.slideshare.net/tw_dsconf/ss-64077120","http://www.slideshare.net/tw_dsconf/ss-64077120

專題演講/陳伶志/自己的空氣品質自己量 : 談參與式環境感測的機會與挑戰

陳伶志，現任中央研究院資訊科學所副研究員。其研究專長為網路感測系統、行動無線網路與社群運算，已發表超過 100 篇的學術論於於國際期刊與研討會。其研究主題多以貼近生活的真實問題為出發點，重要的代表作包含玉山登山追蹤與搜救系統、大臺北公車行車舒適度系統，以及近期的微型空氣品質感測系統，該系統目前已與 LASS 網路社群和臺北市政府合作，在全台各地佈建超過 300 個感測站，並且同時收集包含環保署與其他民間社群的感測資料，是目前全台空氣品質感測資料最大的集散中心。","陳伶志/自己的空氣品質自己量 : 談參與式環境感測的機會與挑戰","28","0","78","748641158535005","台灣資料科學愛好者年會","slideshare:author","http://www.slideshare.net/tw_dsconf","Data & Analytics","0","2016-07-16 04:38:25 UTC","79","4","2","","2016-07-16T04:38:25+0000","2016-07-16 04:38:39 UTC","573"
"2016-07-16T06:37:00+0000","1502894619932654_1812095885679191","False","False","156","http://www.slideshare.net/tw_dsconf/ceo-64077007","http://www.slideshare.net/tw_dsconf/ceo-64077007

專題演講/顏汝芳/從薪酬制度讀 CEO 的行為心理學

顏汝芳畢業於臺大數學系、臺大財務金融學系財工組，並於 2013 年於臺大財務金融學系取得博士學位，目前任職於國立臺北大學商學院統計學系助理教授一職。研究方向包含公司理財與銀行放款策略。","顏汝芳/從薪酬制度讀 CEO 的行為心理學","32","0","174","748641158535005","台灣資料科學愛好者年會","slideshare:author","http://www.slideshare.net/tw_dsconf","Data & Analytics","0","2016-07-16 04:23:26 UTC","70","6","4","","2016-07-16T04:23:26+0000","2016-07-17 02:43:54 UTC","1028"
"2016-07-16T05:55:00+0000","1502894619932654_1812093595679420","False","False","259","http://www.slideshare.net/tw_dsconf/ss-64076883","[已修正] 
http://www.slideshare.net/tw_dsconf/ss-64076883?qid=b1fd975a-f4d7-40b2-8979-488aa2af6f31&v=&b=&from_search=1

專題演講/陳宜欣/大數據下的情緒分析

陳宜欣，美國南加州大學資訊科學博士，目前在清華大學資訊工程系任教，自大學與碩士時期在管理學院的薰陶，始終相信：好的科技技術應該蘊涵著人文關懷。帶領來自世界各地的研究團隊成員，致力運用資料分析技術來找出大數據背後的群眾智慧，最近將焦點放在跨語系情緒與心理分析技術。研究之餘，協助實驗教育的照海華德福建校，並執筆人氣部落格『 教書匠的夢想 』。","陳宜欣/大數據下的情緒分析","47","0","357","748641158535005","台灣資料科學愛好者年會","slideshare:author","http://www.slideshare.net/tw_dsconf","Data & Analytics","0","2016-07-16 04:11:24 UTC","56","0","11","","2016-07-16T04:11:24+0000","2016-07-16 08:47:46 UTC","1000"
